지역,대학명,전형유형,모집단위,2025 입시결과 경쟁,2025 입시결과 70%,2024 입시결과 경쟁,2024 입시결과 70%
강원,상지대학교,학생부교과,건설환경공학과,,,,
강원,상지대학교,학생부교과,소방공학과,2.2,6.03,1.78,6.19
강원,상지대학교,학생부교과,전기전자공학과,2.0,,,
강원,상지대학교,학생부교과,컴퓨터공학과,3.2,5.44,,
강원,상지대학교,학생부교과,소프트웨어학과,,,,
강원,상지대학교,학생부교과,# 자유전공학부,2.2,6.35,1.0,6.87
강원,상지대학교,학생부교과,한의예과,5.0,,,
강원,상지대학교,학생부교과,간호학과,0.5,,,
강원,상지대학교,학생부교과,간호학과,4.33,3.84,,
강원,상지대학교,학생부교과,임상병리학과,,,,
강원,상지대학교,학생부교과,작업치료학과,1.0,6.53,,
강원,상지대학교,학생부교과,경찰법학과,0.67,,,
강원,상지대학교,학생부교과,사회복지학과,2.0,6.63,,
강원,상지대학교,학생부교과,전기전자공학과,1.0,4.25,,
강원,상지대학교,학생부교과,컴퓨터공학과,1.0,3.45,,
강원,상지대학교,학생부종합,한의예과,47.86,1.64,36.71,1.9
강원,상지대학교,학생부종합,물리치료학과,14.45,3.3,12.6,3.69
강원,상지대학교,학생부종합,보건계열,1.93,6,1.67,6.18
강원,상지대학교,학생부종합,임상병리학과,10.86,4,7.4,4.83
강원,상지대학교,학생부종합,작업치료학과,4.57,5.32,3.25,5.58
강원,상지대학교,학생부종합,경찰법학과,3.43,5.36,2.13,6.51
강원,상지대학교,학생부종합,사회복지학과,4.36,5.67,2.93,6.14
강원,상지대학교,학생부종합,유아교육학과,4.75,5.51,5.7,5.63
강원,상지대학교,학생부종합,문화콘텐츠학과,3.17,5.29,1.4,7.24
강원,상지대학교,학생부종합,미디어영상광고학과,3.08,5.58,3.67,5.62
강원,상지대학교,학생부종합,경영학과,1.75,6.56,,
강원,상지대학교,학생부종합,호텔항공관광경영학과,3.2,7.54,2.5,5.62
강원,상지대학교,학생부종합,동물자원학과,3.75,6.28,,
강원,상지대학교,학생부종합,리빙디자인학과,2.5,4.87,,
강원,상지대학교,학생부종합,산업융합디자인학과,1.63,4.68,,
강원,상지대학교,학생부종합,시각영상디자인학과,2.5,5.11,,
강원,상지대학교,학생부종합,체육학전공,,,,
강원,상지대학교,학생부종합,# 자유전공학부,1.72,5.86,,
강원,상지대학교,학생부종합,한의예과,18.43,1.44,12.4,1.87
강원,상지대학교,학생부종합,물리치료학과,9.5,3.89,,
강원,상지대학교,학생부종합,보건계열,,,,
강원,상지대학교,학생부종합,임상병리학과,6.0,4.28,,
강원,상지대학교,학생부종합,사회복지학과,4.33,5.85,,
강원,상지대학교,학생부종합,경영학과,1.0,6.43,,
강원,상지대학교,학생부종합,한의예과,3.0,3.17,,
강원,상지대학교,실기/실적,리빙디자인학과,,,,
강원,상지대학교,실기/실적,산업융합디자인학과,,,,
강원,상지대학교,실기/실적,시각영상디자인학과,,,,
강원,상지대학교,실기/실적,만화애니메이션학과,,,,
강원,상지대학교,실기/실적,체육학전공,,,,
강원,상지대학교,실기/실적,태권도학전공,,,,
강원,상지대학교,실기/실적,생활체육학전공(야간),,,,
강원,상지대학교,실기/실적,생활체육학전공(야간),,,,
강원,상지대학교,실기/실적,태권도학전공,,,,
강원,상지대학교,학생부교과,한의예과,26.0,1.38,,
강원,상지대학교,학생부교과,간호학과,8.5,3.82,,
강원,상지대학교,학생부교과,물리치료학과,9.0,2.3,,
강원,상지대학교,학생부교과,임상병리학과,6.0,4.45,,
강원,상지대학교,학생부교과,작업치료학과,2.5,5.88,,
강원,상지대학교,학생부교과,경찰법학과,2.0,5.22,,
강원,상지대학교,학생부교과,사회복지학과,2.0,,,
강원,상지대학교,학생부교과,유아교육학과,3.67,5.22,,
강원,상지대학교,학생부교과,미디어영상광고학과,4.0,3.7,,
강원,상지대학교,학생부교과,경영학과,1.5,6.51,,
강원,상지대학교,학생부교과,스마트팜생명과학과,,,,
강원,상지대학교,학생부교과,건설환경공학과,,,,
강원,상지대학교,학생부교과,소방공학과,1.0,,,
